Entity,Code,Year,Yearly burned area across other land categories,Yearly burned area across croplands,Yearly burned area across forests,Yearly burned area across savannas,Yearly burned area across shrublands and grasslands
Algeria,DZA,2022,3520.404,11698.898,14811.45,3134.0168,22152.775
American Samoa,ASM,2002,0,0,0,0,0
American Samoa,ASM,2003,0,0,0,0,0
American Samoa,ASM,2004,0,0,0,0,0
American Samoa,ASM,2005,0,0,0,0,0
American Samoa,ASM,2006,0,0,0,0,0
American Samoa,ASM,2007,0,0,0,0,0
American Samoa,ASM,2008,0,0,0,0,0
American Samoa,ASM,2009,0,0,0,0,0
American Samoa,ASM,2010,0,0,0,0,0
American Samoa,ASM,2011,0,0,0,0,0
American Samoa,ASM,2012,0,0,0,0,0
American Samoa,ASM,2013,0,0,0,0,0
American Samoa,ASM,2014,0,0,0,0,0
American Samoa,ASM,2015,0,0,0,0,0
American Samoa,ASM,2016,0,0,0,0,0
American Samoa,ASM,2017,0,0,0,0,0
American Samoa,ASM,2018,0,0,0,0,0
American Samoa,ASM,2019,0,0,0,0,0
American Samoa,ASM,2020,0,0,0,0,0
American Samoa,ASM,2021,0,0,0,0,0
American Samoa,ASM,2022,0,0,0,0,0
Andorra,AND,2002,0,0,0,0,0
Andorra,AND,2003,0,0,0,0,0
Andorra,AND,2004,0,0,0,0,0
Andorra,AND,2005,0,0,0,0,0
Andorra,AND,2006,0,0,0,0,0
Andorra,AND,2007,0,0,0,0,0
Andorra,AND,2008,0,0,0,0,0
Andorra,AND,2009,0,0,0,0,0
Andorra,AND,2010,0,0,0,0,0
Andorra,AND,2011,0,0,0,0,0
Andorra,AND,2012,0,0,0,0,0
Andorra,AND,2013,0,0,0,0,0
Andorra,AND,2014,0,0,0,0,0
Andorra,AND,2015,0,0,0,0,0
Andorra,AND,2016,0,0,0,0,0
Andorra,AND,2017,0,0,0,0,0
Andorra,AND,2018,0,0,0,0,0
Andorra,AND,2019,0,0,0,0,0
Andorra,AND,2020,0,0,0,0,0
Andorra,AND,2021,0,0,0,0,0
Andorra,AND,2022,0,0,0,0,0
Angola,AGO,2002,9487.919,189221.62,1859781.1,14920538,17929022
Angola,AGO,2003,12772.193,195983.38,2039171.5,17063884,21435536
Angola,AGO,2004,13781.094,188964.03,2293585,17170504,21125032
Angola,AGO,2005,23118.738,165544.77,2422251.2,16833940,20778832
Angola,AGO,2006,8586.348,170288.73,2235069,17039756,16642036
Angola,AGO,2007,10883.199,167111.78,2246252.8,16619346,19903774
Angola,AGO,2008,18353.32,160779.36,2321898.5,16525670,17482446
Angola,AGO,2009,12128.218,156228.58,2569850.8,16113417,17455442
Angola,AGO,2010,14103.078,160457.36,2707361,16521119,19038164
Angola,AGO,2011,11462.779,154146.4,2363993,16269840,20662356
Angola,AGO,2012,12986.854,165673.56,2530310.5,16752414,17469954
Angola,AGO,2013,20027.658,146976.8,2307108.5,16144651,18911366
Angola,AGO,2014,11162.256,153652.69,2370261,16052991,16533011
Angola,AGO,2015,21294.145,136823.44,2528765,16349499,17716510
Angola,AGO,2016,22925.547,149423.9,2384814.8,16566777,17207190
Angola,AGO,2017,17902.537,153760.02,2863310.5,17143350,17366638
Angola,AGO,2018,11591.57,152064.2,1823718.5,15083958,14507599
Angola,AGO,2019,29064.785,146161.08,2440604.8,17864130,16563127
Angola,AGO,2020,12686.333,153566.81,2058512.2,16792126,14484051
Angola,AGO,2021,14274.804,141846.45,2173011.2,16470567,15463840
Angola,AGO,2022,18374.785,154017.61,2010407.2,16266233,15217411
Antigua and Barbuda,ATG,2002,0,0,0,0,0
Antigua and Barbuda,ATG,2003,0,0,0,0,0
Antigua and Barbuda,ATG,2004,0,0,0,0,0
Antigua and Barbuda,ATG,2005,0,0,0,0,0
Antigua and Barbuda,ATG,2006,0,0,0,0,0
Antigua and Barbuda,ATG,2007,0,0,0,0,0
Antigua and Barbuda,ATG,2008,0,0,0,0,0
Antigua and Barbuda,ATG,2009,0,0,0,0,0
Antigua and Barbuda,ATG,2010,0,0,0,0,0
Antigua and Barbuda,ATG,2011,0,0,0,0,0
Antigua and Barbuda,ATG,2012,0,0,0,0,0
Antigua and Barbuda,ATG,2013,0,0,0,0,0
Antigua and Barbuda,ATG,2014,0,0,0,0,0
Antigua and Barbuda,ATG,2015,0,0,0,0,0
Antigua and Barbuda,ATG,2016,0,0,0,0,0
Antigua and Barbuda,ATG,2017,0,0,0,0,0
Antigua and Barbuda,ATG,2018,0,0,0,0,0
Antigua and Barbuda,ATG,2019,0,0,0,0,0
Antigua and Barbuda,ATG,2020,0,0,0,0,0
Antigua and Barbuda,ATG,2021,0,0,0,0,0
Antigua and Barbuda,ATG,2022,0,0,0,0,0
Argentina,ARG,2002,69442.09,588486.75,60812.8,1205673.4,3192039
Argentina,ARG,2003,68368.79,631568.75,88353.516,2073753.1,3843163
Argentina,ARG,2004,62701.8,623068.25,114799.47,1780658.1,2241186.8
Argentina,ARG,2005,51174.633,496076.22,98828.86,1333051.9,1566042.4
Argentina,ARG,2006,177565.66,400918,86292.79,1463757.5,1662273.8
Argentina,ARG,2007,65664.09,534650.4,85348.3,1229822.5,1898956.5
Argentina,ARG,2008,308486,530786.5,101254.5,1909689.4,2238975.8
Argentina,ARG,2009,73520.6,446983.75,119028.234,965727.9,1718213.9
Argentina,ARG,2010,42566.82,320979.12,72511.7,830235.4,1353938.1
Argentina,ARG,2011,53213.887,367667.38,48748.99,1237743.4,1659590.6
Argentina,ARG,2012,72082.38,268945.84,58043.707,1368363.2,1209601.6
Argentina,ARG,2013,63496.04,270491.4,179948.38,948233.25,1444266.5
Argentina,ARG,2014,63174.05,190488.1,16035.006,629379.25,1407023.2
Argentina,ARG,2015,60748.414,208841.42,41600.85,792455.44,1269555.8
Argentina,ARG,2016,82922.65,318982.78,34517.117,908199.4,2080107
Argentina,ARG,2017,87988.59,329651.3,120616.71,1788128.2,2982617.8
Argentina,ARG,2018,44112.355,274720.16,27175.79,895770.7,2105329.2
Argentina,ARG,2019,33787.28,250807.2,24750.15,853633.1,1072971.4
Argentina,ARG,2020,370457.94,401025.34,224704.7,2592497.2,2393315.5
Argentina,ARG,2021,110957.07,273088.75,77019.53,967123.2,1078574
Argentina,ARG,2022,289875.06,230264.36,323791.16,2094768.1,1572439.2
Armenia,ARM,2002,0,5516.727,0,0,622.511
Armenia,ARM,2003,0,1888.997,0,0,751.305
Armenia,ARM,2004,64.398,3348.676,0,21.466,11291.046
Armenia,ARM,2005,0,3348.6748,0,85.864,9165.927
Armenia,ARM,2006,150.261,8199.961,536.647,558.11304,16314.059
Armenia,ARM,2007,0,407.851,85.863,42.932,708.374
Armenia,ARM,2008,0,3627.732,42.932,321.987,8500.482
Armenia,ARM,2009,1202.089,1438.213,0,0,85.864
Armenia,ARM,2010,0,8285.823,665.44196,858.63403,68282.92
Armenia,ARM,2011,0,2425.644,0,0,3670.661
Armenia,ARM,2012,150.261,751.305,171.727,150.261,3520.403
Armenia,ARM,2013,0,2747.6318,0,128.79599,11462.773
Armenia,ARM,2014,0,2854.96,0,0,3005.222
Armenia,ARM,2015,0,1459.679,21.466,42.932,8908.335
Armenia,ARM,2016,21.466,1588.475,0,85.864006,8350.221
Armenia,ARM,2017,150.261,7684.78,171.727,21.466,18503.578
Armenia,ARM,2018,0,6632.953,343.454,85.863,9273.255
Armenia,ARM,2019,0,3112.5508,107.329,42.932,14317.734
Armenia,ARM,2020,236.125,579.57904,794.237,21.466,1888.997
Armenia,ARM,2021,64.397995,2897.8918,515.181,236.125,7384.258
Armenia,ARM,2022,0,5087.4116,107.33,21.466,21079.484
Asia,,2002,212748.25,5836655,3178773,2742479.2,26748058
Asia,,2003,189243.12,7214592,5199290.5,3251392,14960722
Asia,,2004,236768.56,8158747,8810043,3969725.8,19456298
Asia,,2005,292687.16,8823266,4774309.5,2254367,17072748
Asia,,2006,337207.38,8522035,4949428,3005543.5,19260444
Asia,,2007,260767.4,8690306,7418432.5,3045641.8,13817837
Asia,,2008,233913.6,6541766,4038523.8,2797646.5,13352628
Asia,,2009,234965.44,8801521,7146545.5,3357240.2,9709248
Asia,,2010,192935.25,9543961,6686983,2927300.2,16841518
Asia,,2011,231788.47,8697519,3902043.8,2717900.8,7211093.5
Asia,,2012,224189.56,11161586,6056423,3047809.8,10896310
Asia,,2013,216655.05,9356134,4524897.5,2244256.5,5303250
Asia,,2014,233956.55,10787800,5705520,2821259,11388673
Asia,,2015,339718.9,10845780,5693993,3250039.8,13221193
Asia,,2016,181322.23,8437481,4606725.5,1953651.5,6873864.5
Asia,,2017,166682.5,10129764,4389770,2702724.5,16562699
Asia,,2018,200212.19,7550898,3721365.8,2978067,5934432
Asia,,2019,504040.1,10199593,4607326.5,2502705.5,13503791
Asia,,2020,378357.4,9570020,4821513,1830373,7903668
Asia,,2021,261754.84,8715937,5404075,2227620.5,8096903.5
Asia,,2022,231552.34,8030424,2829008.2,1587744.4,3633291.2
Australia,AUS,2002,43919.164,83566.625,718977.75,6226604.5,69275530
Australia,AUS,2003,37608.203,77320.055,1260733.4,5386881,24385526
Australia,AUS,2004,46559.47,855758.3,127120.86,4846585,57259470
Australia,AUS,2005,57228,518164.56,117268.04,5521751,21070830
Australia,AUS,2006,61113.324,609179.8,972532.5,5401520.5,49801412
Australia,AUS,2007,50036.938,38080.445,351160.12,3865766.8,45799270
Australia,AUS,2008,29215.05,138970.03,78286.02,4386743,26167386
Australia,AUS,2009,63818.023,251236.52,566441.3,7184604.5,31672544
Australia,AUS,2010,53106.56,341328.75,89104.82,2120055,15581472
Australia,AUS,2011,131993.62,849425.8,181601.23,6843683.5,79537580
Australia,AUS,2012,49521.76,598468.4,273904.47,7571054.5,80120840
Australia,AUS,2013,55682.46,307734.66,480599.3,4017165.5,22751910
Australia,AUS,2014,56927.484,556803.1,360047,5708053,39086532
Australia,AUS,2015,68905.44,392202.88,228718.83,4559608,35924204
Australia,AUS,2016,46602.4,369620.78,298139.44,3685260.2,19349140
Australia,AUS,2017,64011.22,981333.56,187976.6,3176755.2,44311390
Australia,AUS,2018,42438.023,343067.5,307198.03,4322539,46107350
Australia,AUS,2019,79509.57,453273.25,3326114.5,4972611,26302428
Australia,AUS,2020,43403.98,113339.78,1830373,3487624,10969552
Australia,AUS,2021,50208.668,510973.5,63367.24,3171818,22017862
Australia,AUS,2022,37994.586,490001.38,68197.06,2827870.5,24097582
Austria,AUT,2002,0,1008.896,42.932,42.932,64.398
Austria,AUT,2003,21.466,1738.736,85.864,0,128.795
Austria,AUT,2004,0,4615.161,0,0,193.193
Austria,AUT,2005,0,2790.563,686.908,407.851,708.374
Austria,AUT,2006,1888.996,214.659,0,42.932,0
Austria,AUT,2007,0,0,42.932,0,0
Austria,AUT,2008,64.398,3391.6072,0,0,107.328995
Austria,AUT,2009,0,815.703,42.932,0,0
Austria,AUT,2010,0,0,0,0,0
Austria,AUT,2011,0,3026.6877,21.466,0,42.932
Austria,AUT,2012,0,21.466,42.932,0,0
Austria,AUT,2013,0,42.932,128.795,0,0
Austria,AUT,2014,0,21.466,279.057,171.727,493.715
Austria,AUT,2015,0,0,0,0,0
Austria,AUT,2016,0,0,42.932,0,0
Austria,AUT,2017,85.863,107.329,150.262,64.398,450.784
Austria,AUT,2018,0,0,386.38498,0,0
Austria,AUT,2019,0,0,21.466,0,0
Austria,AUT,2020,0,0,21.466,0,128.796
Austria,AUT,2021,0,0,128.79599,0,0
Austria,AUT,2022,0,0,42.932,0,42.932
Azerbaijan,AZE,2002,279.057,166167.27,472.249,450.78302,43597.18
Azerbaijan,AZE,2003,1051.828,140944.89,0,21.466,69034.23
Azerbaijan,AZE,2004,107.33,174324.31,0,64.397995,78135.76
Azerbaijan,AZE,2005,107.33,105783.8,21.466,128.795,31426.033
Azerbaijan,AZE,2006,515.182,175182.94,0,128.796,123707.8
Azerbaijan,AZE,2007,21.466,77148.33,450.78302,236.125,51840.074
Azerbaijan,AZE,2008,171.72699,65556.76,21.466,214.659,22023.98
Azerbaijan,AZE,2009,64.397995,75774.51,0,0,11634.5
Azerbaijan,AZE,2010,665.442,108746.086,643.977,965.96405,112996.33
Azerbaijan,AZE,2011,107.33,143971.58,21.466,85.864,48233.805
Azerbaijan,AZE,2012,472.25003,81462.97,21.466,300.523,48555.79
Azerbaijan,AZE,2013,107.33,69205.96,21.466,429.318,25909.3
Azerbaijan,AZE,2014,150.261,17687.877,150.261,364.921,18525.041
Azerbaijan,AZE,2015,386.386,242757.48,21.466,150.261,125081.61
Azerbaijan,AZE,2016,257.591,142597.77,0,364.92,21766.393
Azerbaijan,AZE,2017,429.317,105869.66,751.305,3005.221,64483.47
Azerbaijan,AZE,2018,64.397995,90306.91,558.112,171.727,42781.473
Azerbaijan,AZE,2019,257.591,159942.17,128.795,1416.749,102327.78
Azerbaijan,AZE,2020,257.592,34474.184,1738.7361,1180.623,10153.355
Azerbaijan,AZE,2021,128.79599,70858.82,450.784,1717.272,111858.64
Azerbaijan,AZE,2022,257.59,19469.545,343.454,407.852,45121.254
Bahamas,BHS,2002,107.33,0,3413.074,3434.538,10432.412
Bahamas,BHS,2003,85.863,0,837.16797,429.317,751.30505
Bahamas,BHS,2004,923.033,0,7620.381,26596.209,11935.021
Bahamas,BHS,2005,343.455,0,7362.793,5860.1816,10067.494
Bahamas,BHS,2006,171.72702,0,3949.7197,6117.773,4057.051
Bahamas,BHS,2007,214.659,0,2983.755,9745.506,3949.719
Bahamas,BHS,2008,1438.2129,0,9273.253,10260.686,22775.283
Bahamas,BHS,2009,686.909,0,5323.535,9273.256,3756.526
Bahamas,BHS,2010,150.26201,0,4507.833,1159.157,2468.576
Bahamas,BHS,2011,536.648,0,10561.206,15090.508,19984.725
Bahamas,BHS,2012,472.25003,0,2339.779,5645.522,2554.438
Bahamas,BHS,2013,493.71503,0,13630.828,9165.929,17537.615
Bahamas,BHS,2014,472.24902,0,2318.313,3005.221,3241.3457
Bahamas,BHS,2015,665.442,0,2876.427,8199.961,4808.3545
Bahamas,BHS,2016,1116.226,0,7105.2017,4808.353,8715.144
Bahamas,BHS,2017,579.579,0,17280.023,12085.282,10046.026
Bahamas,BHS,2018,171.728,0,1287.952,2060.723,450.78198
Bahamas,BHS,2019,257.591,0,4593.695,3520.403,1824.599
Bahamas,BHS,2020,1202.088,0,4207.311,4142.914,11398.377
Bahamas,BHS,2021,171.728,0,3026.686,1824.598,4057.0488
Bahamas,BHS,2022,214.659,0,128.795,708.374,558.11304
Bahrain,BHR,2002,0,0,0,0,0
Bahrain,BHR,2003,0,0,0,0,0
Bahrain,BHR,2004,0,0,0,0,0
Bahrain,BHR,2005,0,0,0,0,0
Bahrain,BHR,2006,0,0,0,0,0
Bahrain,BHR,2007,0,0,0,0,0
Bahrain,BHR,2008,0,0,0,0,0
Bahrain,BHR,2009,0,0,0,0,0
Bahrain,BHR,2010,0,0,0,0,0
Bahrain,BHR,2011,0,0,0,0,0
Bahrain,BHR,2012,0,0,0,0,0
Bahrain,BHR,2013,0,0,0,0,0
Bahrain,BHR,2014,0,0,0,0,0
Bahrain,BHR,2015,0,0,0,0,0
Bahrain,BHR,2016,0,0,0,0,0
Bahrain,BHR,2017,0,0,0,0,0
Bahrain,BHR,2018,0,0,0,0,0
Bahrain,BHR,2019,0,0,0,0,0
Bahrain,BHR,2020,0,0,0,0,0
Bahrain,BHR,2021,0,0,0,0,0
Bahrain,BHR,2022,0,0,0,0,0
Bangladesh,BGD,2002,171.727,3391.607,686.908,21.466,1266.486
Bangladesh,BGD,2003,0,665.443,12707.793,386.38602,18009.863
Bangladesh,BGD,2004,0,5946.046,4615.163,515.18,8199.961
Bangladesh,BGD,2005,321.988,1073.294,14188.9375,880.101,30545.93
Bangladesh,BGD,2006,128.79501,7727.713,69012.766,1008.896,90027.84
Bangladesh,BGD,2007,0,4250.242,10582.672,1008.8961,30610.326
Bangladesh,BGD,2008,0,4228.7764,28055.889,1931.927,58065.17
Bangladesh,BGD,2009,257.59,2103.656,34924.965,300.523,75967.7
Bangladesh,BGD,2010,193.193,7405.7227,4743.957,2339.7788,11398.376
Bangladesh,BGD,2011,171.727,9552.311,6010.442,708.374,12729.261
Bangladesh,BGD,2012,21.466,1287.952,11698.898,472.24902,22646.49
Bangladesh,BGD,2013,0,1695.804,48641.656,386.386,70858.83
Bangladesh,BGD,2014,0,4894.2188,42287.758,429.31802,68819.57
Bangladesh,BGD,2015,386.385,2726.165,5752.852,42.932,14425.0625
Bangladesh,BGD,2016,64.397995,944.499,3005.221,0,5666.989
Bangladesh,BGD,2017,171.727,3735.062,622.51,42.932,1309.418
Bangladesh,BGD,2018,1116.225,407.851,8801.005,0,18675.305
Bangladesh,BGD,2019,0,450.784,3885.3208,0,17666.41
Bangladesh,BGD,2020,107.33,4400.504,37672.598,150.261,61435.31
Bangladesh,BGD,2021,107.329994,1116.225,30782.055,64.398,47203.44
Bangladesh,BGD,2022,0,1395.282,2962.29,64.398,6289.4985
Barbados,BRB,2002,0,0,0,0,0
Barbados,BRB,2003,0,0,0,0,0
Barbados,BRB,2004,0,0,0,0,0
Barbados,BRB,2005,0,0,0,0,0
Barbados,BRB,2006,0,0,0,0,0
Barbados,BRB,2007,0,0,0,0,0
Barbados,BRB,2008,0,0,0,0,0
Barbados,BRB,2009,0,0,0,0,0
Barbados,BRB,2010,0,85.863,0,64.397995,429.31702
Barbados,BRB,2011,0,0,0,0,0
Barbados,BRB,2012,0,0,0,0,0
Barbados,BRB,2013,0,0,0,0,0
Barbados,BRB,2014,0,0,0,0,0
Barbados,BRB,2015,0,0,0,0,0
Barbados,BRB,2016,0,0,0,0,0
Barbados,BRB,2017,0,0,0,0,0
Barbados,BRB,2018,0,0,0,0,0
Barbados,BRB,2019,0,0,0,0,0
Barbados,BRB,2020,0,0,0,0,0
Barbados,BRB,2021,0,0,0,0,0
Barbados,BRB,2022,0,0,0,0,0
Belarus,BLR,2002,1545.5428,40291.434,22066.91,44412.875,71889.19
Belarus,BLR,2003,0,14382.132,13544.963,8693.676,30503
Belarus,BLR,2004,107.329,8371.688,2404.179,4915.684,7126.6665
Belarus,BLR,2005,64.397995,22088.377,1910.4619,3756.528,12428.736
Belarus,BLR,2006,0,19297.818,7083.7383,7899.441,36599.305
Belarus,BLR,2007,128.795,11591.568,300.522,3391.607,4421.9688
Belarus,BLR,2008,0,35933.863,880.101,3112.5522,3627.7322
Belarus,BLR,2009,150.261,24256.432,751.307,6203.638,6847.614
Belarus,BLR,2010,0,6847.613,987.432,1910.4651,3670.667
Belarus,BLR,2011,193.193,3112.552,300.522,1245.0199,1159.157
Belarus,BLR,2012,837.17004,4314.64,6139.2383,15176.367,22431.832
Belarus,BLR,2013,601.044,2189.519,1116.226,2962.2898,6869.078
Belarus,BLR,2014,128.79599,15004.645,9831.366,17709.342,20521.371
Belarus,BLR,2015,257.591,22345.969,3176.948,15605.686,52183.523
Belarus,BLR,2016,21.466,1867.531,1738.735,2833.4958,2661.769
Belarus,BLR,2017,0,4658.094,85.863,558.11304,1609.941
Belarus,BLR,2018,343.453,7856.506,9638.175,10024.562,23934.441
Belarus,BLR,2019,0,15970.606,1459.681,7877.972,8543.414
Belarus,BLR,2020,150.261,9080.06,4507.832,23054.342,12879.5205
Belarus,BLR,2021,21.466,3434.538,472.248,1373.818,4078.5159
Belarus,BLR,2022,21.466,3649.198,107.33,3391.6072,2253.917
Belgium,BEL,2002,0,0,0,0,0
Belgium,BEL,2003,0,0,21.466,21.466,0
Belgium,BEL,2004,0,0,64.398,64.398,107.329
Belgium,BEL,2005,0,0,0,0,0
Belgium,BEL,2006,0,450.783,0,0,0
Belgium,BEL,2007,0,579.57904,0,128.795,257.59
Belgium,BEL,2008,0,0,0,0,0
Belgium,BEL,2009,0,236.125,0,0,21.466
Belgium,BEL,2010,0,0,0,0,0
